species,address,latitude,longitude
New Zealand Xmas Tree,127 Miramar Ave,37.7205335525293,-122.45826904898
New Zealand Xmas Tree,53 28th St,37.7454319488588,-122.423438446094
Brisbane Box,1445 Innes Ave,37.7376691417172,-122.385954805477
New Zealand Xmas Tree,2338 Alemany Blvd,37.7166132174991,-122.444088354015
Sycamore: London Plane,1101 Howard St,37.7776565009765,-122.409632823604
New Zealand Xmas Tree,2700X Sunset Blvd,37.7366355480025,-122.494159995324
Cherry Plum,1965 Ulloa St,37.7410267085562,-122.477516024741
Sycamore: London Plane,1925 Gough St,37.7914555446772,-122.426002153097
Cherry Plum,1620 Montgomery St,37.804050345434,-122.404938924734
Cherry Plum,1837 McAllister St,37.7772074577589,-122.442463326253
Cherry Plum,774 Capp St,37.7543130741871,-122.417635411147
Sycamore: London Plane,4615 California St,37.7846249469048,-122.466988251114
Cherry Plum,483 Edinburgh St,37.7214885529244,-122.431732339972
New Zealand Xmas Tree,3557 Geary Blvd,37.781200976764,-122.457155775322
Sycamore: London Plane,101X Vicente St,,
Cherry Plum,928 Clara St,37.7788624666671,-122.403053709087
Cherry Plum,545 Irving St,37.7640707836551,-122.463799276424
Swamp Myrtle,500 Toland St,37.7437489121962,-122.399171325003
Sycamore: London Plane,3690 Jackson St,37.789868867208,-122.455486799581
Cherry Plum,856 Prague St,37.7104048943477,-122.434642162998
Sycamore: London Plane,1140 Harrison St,37.7743872369211,-122.407528919945
Sycamore: London Plane,35 Bay St,37.806387530914,-122.406826991865
Sycamore: London Plane,1651 Steiner St,37.784648812237,-122.434789126759
Swamp Myrtle,3303 San Bruno Ave,37.7202777093298,-122.400611575777
Sycamore: London Plane,601X Howard St,37.7867229411628,-122.398229721423
Cherry Plum,2 Edgehill Way,37.7435907753863,-122.460170488589
Cherry Plum,130 22nd Ave,37.7852918737573,-122.481815995928
New Zealand Xmas Tree,2524 Clay St,37.7907086541232,-122.434714808441
Brisbane Box,3700 17th St,37.7629569261619,-122.42858227503
Sycamore: London Plane,2440 Market St,37.7625509671763,-122.435869484888
Brisbane Box,6190X 03rd St,37.7226833854002,-122.395656702743
Brisbane Box,434 Leavenworth St,37.7851848652278,-122.414453446982
Sycamore: London Plane,719 Holly Park Cir,37.7374178918343,-122.421122977478
New Zealand Xmas Tree,401-423X Wheeler Ave,37.7106824071298,-122.400431631316
Brisbane Box,299x Cashmere St,37.7358677393958,-122.384414252424
Cherry Plum,2943 Harrison St,37.7503533174728,-122.411578417814
New Zealand Xmas Tree,950 Mason St,37.7923184964294,-122.410825126139
Swamp Myrtle,1686 25th Ave,37.7560767990322,-122.482980516955
Cherry Plum,2211 26th St,37.7505829818309,-122.401387786044
Sycamore: London Plane,2500 Scott St,37.793042795027,-122.439650656546
Cherry Plum,3642 19th St,37.7599842779483,-122.424546224886
Swamp Myrtle,5 Saint Joseph's Ave,37.7796336591807,-122.4410749233
Brisbane Box,101X Haight St,37.7728445391028,-122.424638450672
Swamp Myrtle,59 Fountain St,37.749913071442,-122.441531026543
New Zealand Xmas Tree,1530 43rd Ave,37.7581113313144,-122.502450205887
Cherry Plum,3931 22nd St,37.7544012253481,-122.435031116186
Sycamore: London Plane,4300 California St,37.7851942137217,-122.463548832889
Brisbane Box,403 Main St,37.7877369613497,-122.389653177477
Sycamore: London Plane,21 Octavia St,37.772021477067,-122.423772292692
New Zealand Xmas Tree,3250 19th Ave,37.7294662695904,-122.474535101923
New Zealand Xmas Tree,3840 Balboa St,37.775664563968,-122.500153665123
Brisbane Box,701 Division St,37.7699266067542,-122.402816603714
Sycamore: London Plane,317 Howard St,37.7894430301282,-122.39472126457
New Zealand Xmas Tree,1202 Vicente St,37.7391970264356,-122.480069779917
New Zealand Xmas Tree,26 Burlwood Dr,37.7348611608815,-122.454923454857
Brisbane Box,2601X Ingalls St,37.7223244308474,-122.390017110379
Brisbane Box,2065 Oak St,37.7710174132749,-122.453299501563
Swamp Myrtle,985 Oak St,37.7733263633354,-122.435384717986
New Zealand Xmas Tree,360 18th Ave,37.7813857121041,-122.477226341433
Cherry Plum,725 Buena Vista Ave West,37.7679168446173,-122.443820542416
Sycamore: London Plane,1295X Gough St,37.7852292855281,-122.424753311633
New Zealand Xmas Tree,2430 20th Ave,37.7424035708572,-122.476622403716
Sycamore: London Plane,830 Eddy St,37.782876569934,-122.421533219507
Brisbane Box,38 States St,37.7634679006536,-122.436170631885
Swamp Myrtle,1261X La Salle Ave,37.732064349457,-122.383068698568
Sycamore: London Plane,550X The Embarcadero,37.8001864990432,-122.398220785892
Swamp Myrtle,1250X La Salle Ave,37.7321150500381,-122.382804339533
Brisbane Box,900X Ellis St,37.7838857802496,-122.421071112727
Cherry Plum,160 Buena Vista Ter,37.7665997040019,-122.43851186222
Brisbane Box,1596 Fulton St,37.7763068086663,-122.443065816912
Cherry Plum,129 Terrace Dr,37.7370105591839,-122.464764869528
New Zealand Xmas Tree,495X Sunset Blvd,,
Sycamore: London Plane,88 HOWARD ST,37.7922633974731,-122.39284966575
New Zealand Xmas Tree,683 21st Ave,37.7748459895227,-122.480137891756
Brisbane Box,838X MISSION ST,37.7839111917985,-122.405570835545
Sycamore: London Plane,1900 Broadway,37.7951724579941,-122.428551899256
New Zealand Xmas Tree,5410 Geary Blvd,37.7805678394327,-122.477589778145
Sycamore: London Plane,280 The Embarcadero,37.7845556217057,-122.388308997614
Brisbane Box,2121 03rd St,37.7625343423097,-122.388567555459
New Zealand Xmas Tree,2618 42nd Ave,37.7372530897583,-122.499931697822
New Zealand Xmas Tree,199X Jefferson St,37.8083175458446,-122.41498343065
New Zealand Xmas Tree,4442 Geary Blvd,37.7810334887473,-122.467182969063
Brisbane Box,520X Van Ness Ave,37.7803536757274,-122.420293249536
Cherry Plum,615 Natoma St,37.7782167237559,-122.410123923588
Cherry Plum,1118 Church St,37.7529587370629,-122.427662389714
Brisbane Box,880X Gough St,37.7814079088132,-122.423804392248
New Zealand Xmas Tree,2535 40th Ave,37.7396972395043,-122.498161960277
New Zealand Xmas Tree,151 Starview Way,37.7521582325312,-122.451608750249
New Zealand Xmas Tree,29 West Portal Ave,37.7404964055073,-122.465982734367
Sycamore: London Plane,6133 California St,37.7838834913558,-122.483463204326
New Zealand Xmas Tree,4711x Lincoln Way,,
New Zealand Xmas Tree,30 Powell St,37.7853405666475,-122.407805066666
Brisbane Box,2200 03rd St,37.7615735587915,-122.38881251549
Swamp Myrtle,1606 Guerrero St,37.745363234828,-122.422515215131
Brisbane Box,30 Morse St,37.7135711887396,-122.437435547228
Sycamore: London Plane,2 Folsom St,37.7908430231508,-122.390090033136
Sycamore: London Plane,1090X Gough St,37.7833119108623,-122.42418941539
New Zealand Xmas Tree,168 Hyde St,37.7822541806174,-122.415528017206
Brisbane Box,101X Cashmere St,37.7357266870687,-122.383418119044
